idx,text,label,style,scenario_type,has_codeword,codeword,text_masked,vessel,call_sign,mmsi,location,weather,pob,nature,injury,asr_low,asr_med,asr_high
982,"This is the vessel Oceanic Explorer, calling all stations. We have received a distress relay from the fishing vessel Sea Star. They are located at 34 degrees 12 minutes north, 75 degrees 45 minutes west. They report a crew member has collapsed and is unresponsive. The captain has declared a MAYDAY due to a potential cardiac issue. Weather conditions are severe with 25-knot winds and 3-meter seas. There are 5 persons on board. Immediate medical assistance is requested. Over.",Distress,third_party,medical_issue,True,MAYDAY,"This is the vessel Oceanic Explorer, calling all stations. We have received a distress relay from the fishing vessel Sea Star. They are located at 34 degrees 12 minutes north, 75 degrees 45 minutes west. They report a crew member has collapsed and is unresponsive. The captain has declared a [SIGNAL] due to a potential cardiac issue. Weather conditions are severe with 25-knot winds and 3-meter seas. There are 5 persons on board. Immediate medical assistance is requested. Over.",Oceanic Explorer,,123456789,"34 degrees 12 minutes north, 75 degrees 45 minutes west",25-knot winds and 3-meter seas,5,medical emergency,"unresponsive crew member, possible cardiac issue","This is the vessel Shannick Explorer, calling all stations.  We have received a distress really from the fishing vessel C-star.  They allocated at 34 degrees 12 minutes north, 75 degrees 45 minutes west.  They report a crew member has globsed and is unresponsive.  The captain has declared that may did you to a potential cardiac issue.  The conditions have severed with 25 knot winds and 3 meter seas.  There are five persons on board.  Immediate medical assistance is requested.  Over.","This is the vessel Shannick Explorer, calling all stations.  We have received a distress relief from the fishing vessel C-star.  They allocated at 34 degrees 12 minutes north, 75 degrees 45 minutes west.  They report to crew member has collapsed and is unresponsive.  The captain has declared that made it due to a potential cardiac issue.  The weather conditions have severed with 25 knot winds and 3 meter seas.  There are five persons on board.  Immediate medical assistance is requested.  Over.","This is the vessel, Shannick Explorer, calling all stations.  We have received a distress relief from the fishing vessel, Sea Star.  They are located at 34 degrees, 12 minutes north, 75 degrees, 45 minutes west.  They report a crew member has collapsed and is unresponsive.  The captain has declared that maybe due to a potential cardiac issue,  where the conditions of severe 25 knotwinds and 3 meter seas.  There are five persons on board.  Immediate medical assistance is requested.  Over."
983,"This is the fishing vessel Ocean Hunter relaying a tow request from the cargo ship Sea Explorer. The Sea Explorer is currently adrift approximately 15 nautical miles southwest of Cape May, NJ, at position 38 degrees 54 minutes North, 74 degrees 57 minutes West. They report engine failure and are unable to maneuver. The weather is overcast with light winds from the northeast, and sea state is moderate. There are 12 persons on board the Sea Explorer. Any vessel in the vicinity that can assist, please respond to this message.",Routine,third_party,tow_request,False,NONE,"This is the fishing vessel Ocean Hunter relaying a tow request from the cargo ship Sea Explorer. The Sea Explorer is currently adrift approximately 15 nautical miles southwest of Cape May, NJ, at position 38 degrees 54 minutes North, 74 degrees 57 minutes West. They report engine failure and are unable to maneuver. The weather is overcast with light winds from the northeast, and sea state is moderate. There are 12 persons on board the Sea Explorer. Any vessel in the vicinity that can assist, please respond to this message.",Ocean Hunter,WDE1234,123456789,"38 degrees 54 minutes North, 74 degrees 57 minutes West","overcast with light winds from the northeast, moderate sea state",12,engine failure,none,"This is the Fishing Fissile Ocean Hunter, relaying a tow request from the cargo ship Seaks Boar.  The Seaks Boar is currently drifted approximately 15 nautical miles up west of Cape May, NJ,  up position 138 degrees 54 minutes north, 74 degrees 57 minutes west.  They report engine failure and are unable to maneuver.  The weather is of cast with light winds from the northeast and sea status moderate.  There are 12 persons on board the Seaks Boar, any vessel in the vicinity that can assist, please.","This is the Fishing Fissile Ocean, and to relay a tow request from the cargo ship Seaks Boar.  The Seaks Boar is currently drifted approximately 50 knot comar suffers from Cape May, NJ.  A position 38 degrees 54 minutes north, 74 degrees 57 minutes west.  The report ends in failure and are unable to maneuver.  The weather is of a cast with light winds from the northeast and sea status moderate.  There are 12 persons onboard the Seaks Boar, any vessel in the vicinity that can assist, please.","This is the Fishing Fissile Ocean Hunter, relaying a tow request from the cargo ship's six-bore.  The six-bore is currently equipped to put some of the fifty-not-comas of whistle-kick main, NJ.  A position 138 degrees 54 minutes north, 74 degrees 57 minutes rest.  The report ends in failure and are unable to move on.  The weather is of a cast of light-wings from the north-east and sea-states is moderate.  There are 12 persons onboard the six-bore, any vessel, any vicinity that can assist, please."
984,"This is the fishing vessel Sea Hunter relaying a navigational hazard report. We are currently located at latitude 34.0906, longitude -118.5173, approximately five nautical miles south of the Santa Monica Pier. We have spotted a large shipping container adrift with no visible markings. The seas are calm, but visibility is reduced due to fog. This situation reminds me of the incident last year when the cargo ship Horizon lost containers under similar conditions. All vessels are advised to keep a wide berth of this area until further notice.",Distress,third_party,nav_hazard,False,NONE,"This is the fishing vessel Sea Hunter relaying a navigational hazard report. We are currently located at latitude 34.0906, longitude -118.5173, approximately five nautical miles south of the Santa Monica Pier. We have spotted a large shipping container adrift with no visible markings. The seas are calm, but visibility is reduced due to fog. This situation reminds me of the incident last year when the cargo ship Horizon lost containers under similar conditions. All vessels are advised to keep a wide berth of this area until further notice.",Sea Hunter,WDC1234,123456789,"latitude 34.0906, longitude -118.5173",foggy with calm seas,3,navigational hazard,,"This is the fishing vessel C-hunt to relaying an navigational hazard report.  We are currently located at Latgea 34.906, Longgea G-1, 118.5173, approximately 5 nautical  miles south of the Santa Monica Bay.  He has spotted a large shipping container drifted with no visible markings.  The seas are calm, but visibility is reduced due to fog.  This situation reminds me of incident last year when the cargo ship horizon lost containers  under similar conditions.  All vessels are advised to keep the W.","This is the fishing vessel C-hunt to relaying an navigational hazard report.  We are currently located at Latte G34.906,  1GG-118.5173,  approximately 5 nautical miles south of the Santa Monica Bay.  We have spotted a large shipping container drifted with no visible markings.  The seas are calm, but visibility is reduced due to fog.  This situation reminds me of incident last year when the cargo ship horizon lost containers under similar conditions.  All vessels are advised to keep the W.","This is the Fishing Bessel C-Hunt to relaying an navigational hazard report.  We are currently located at Latitude 34.906,  1 to G-1, 118.5,173,  approximately 5 nautical miles south of the Santa Monica Bay.  We have spotted a large shipping container drifted with no visible markings.  The seas are calm, the visibilities and geosteats fog.  This situation reminds me of incident last year when the cargo ship horizon lost containers  under similar conditions. All vessels were advised to keep the W."
985,"This is a relay from the fishing vessel Sea Hunter, calling all stations. The Sea Hunter has reported an engine failure while approximately 5 nautical miles southwest of Point Reyes, coordinates 38°06.5'N, 122°59.2'W. The crew is safe, but they are adrift and require assistance. Currently, the weather is clear with mild winds at 10 knots. There are 4 persons on board. Please relay this message to nearby vessels and assist if possible.",Routine,third_party,engine_failure,False,NONE,"This is a relay from the fishing vessel Sea Hunter, calling all stations. The Sea Hunter has reported an engine failure while approximately 5 nautical miles southwest of Point Reyes, coordinates 38°06.5'N, 122°59.2'W. The crew is safe, but they are adrift and require assistance. Currently, the weather is clear with mild winds at 10 knots. There are 4 persons on board. Please relay this message to nearby vessels and assist if possible.",Sea Hunter,WXYZ1234,123456789,"5 nautical miles southwest of Point Reyes, 38°06.5'N, 122°59.2'W",clear with mild winds at 10 knots,4,engine failure,none,"This is a relay from the Fishing Vessel C-Hunter, calling all stations.  The C-Hunter has reported an engine failure while approximately 5 nautical miles off west of Point Rays,  coordinates 38 degrees 6.5, 122 degrees 59.2.  The crew is safe, but they are drifting require assistance.  Currently the weather is clear with mild winds of 10 knots.  There are four persons on board.  Please relay this message to nearby vessels unassisted possible.","This is a relay from the fishing vessel, C-Hunter, calling all stations.  The C-Hunter has reported an engine failure while approximately five nautical miles off west of Point Braves,  coordinates 38 degrees, 6.5, and 122 degrees, 59.2.  The crew is safe, but they are drifting require assistance.  Currently, the weather is clear with mild winds of 10 knots.  There are four persons on board.  Please relay this message to nearby vessels unassisted possible.","This is a relay from the fishing vessel, C-Hunter, calling all stations.  The C-Hunter has reported an engine failure while approximately 5.5 miles afresh of pointways.  Coordinates 38 degrees 6.5 and 122 degrees 59.2.  The cooler safe, but they are drifting require assistance.  The weather is clear with mild winds of 10 knots.  There are 4 persons on board.  Please relay this message to nearby vessels unassisted possible."
986,"This is the vessel Ocean Voyager, call sign ABC123, reporting from position 35 degrees 12 minutes North, 75 degrees 45 minutes West. We are experiencing a steering failure and are currently adrift. The weather is clear with minimal wind, but we are concerned about potential drift into shallow waters. There are 12 persons on board, and no injuries have been reported at this time. Requesting assistance from nearby vessels and authorities to ensure safe navigation. Over.",Safety,formal,steering_failure,False,NONE,"This is the vessel Ocean Voyager, call sign ABC123, reporting from position 35 degrees 12 minutes North, 75 degrees 45 minutes West. We are experiencing a steering failure and are currently adrift. The weather is clear with minimal wind, but we are concerned about potential drift into shallow waters. There are 12 persons on board, and no injuries have been reported at this time. Requesting assistance from nearby vessels and authorities to ensure safe navigation. Over.",Ocean Voyager,ABC123,,"35 degrees 12 minutes North, 75 degrees 45 minutes West",clear with minimal wind,12,steering failure,none,"This is the vessel ocean fighter.  Hall sign may be 123 reporting from position 35 degrees 12 minutes north, 75 degrees 45 minutes west.  We are experiencing a staring failure and are currently adrift.  The weather is clear with minimal wind, but we are concerned about potential drifting to shallow waters.  There are 12 persons on board, and no injuries have been reported at this time.  Requesting assistance from nearby vessels and authorities to ensure safe navigation.  Over.","This is the Vestal Ocean Folger.  Call sign may be 123 reporting from position 35 degrees 12 minutes north, 75 degrees 45 minutes rest.  We are experiencing a staring failure and are currently addressed.  The weather is clear with minimal wind, but we are concerned about potential drifting to shallow waters.  There are 12 persons on board, and no injuries have been reported at this time.  Requesting assistance from nearby vessels and the 33 Joe Safe navigation.  Over.","This is the vessel ocean fighter.  Hawse sign may be thrown 123 reported from position 35 degrees 12 minutes north, 75 degrees 45 minutes rest.  We are experiencing a staring failure and apparently a drift.  The weather is clear with minimal wind, but we are concerned about potential drifting to shallow waters.  There are 12 persons on board, and no injuries have been reported at this time.  Requesting assistance from nearby vessels and the 30th future of safe navigation.  Over."
987,"MAYDAY, MAYDAY, MAYDAY. This is the vessel 'Oceana', call sign ABC1234, MMSI 123456789. We are located at 37 degrees 56 minutes North, 122 degrees 25 minutes West. We are taking on water rapidly and our bilge pumps are failing. We currently have five persons on board. Weather conditions are deteriorating; we have heavy rain and 25 knots of wind. Request immediate assistance. Repeat, this is 'Oceana', in distress.",Distress,formal,water_ingress,True,MAYDAY,"[SIGNAL], [SIGNAL], [SIGNAL]. This is the vessel 'Oceana', call sign ABC1234, MMSI 123456789. We are located at 37 degrees 56 minutes North, 122 degrees 25 minutes West. We are taking on water rapidly and our bilge pumps are failing. We currently have five persons on board. Weather conditions are deteriorating; we have heavy rain and 25 knots of wind. Request immediate assistance. Repeat, this is 'Oceana', in distress.",Oceana,ABC1234,123456789,"37 degrees 56 minutes North, 122 degrees 25 minutes West","heavy rain, 25 knots of wind",5,water ingress,none,"Made it, made it, made it. This is the vessel ocean of Colesine ABC World 34  MMSI 123456789. We are located at 37 degrees 56 minutes  north, 122 degrees 25 minutes west. We are taking on water rapidly and  our build pumps are failing. We currently have five persons on board.  Weather conditions are deteriorating. We have heavy rain and 25 knots of wind.  Request immediate assistance. Repeat this assertion at indistress.","Made it, made it, made it.  This is the vessel ocean of Calsine ABC-1234MMSI-123,456,789.  We are located at 37 degrees 56 minutes north, 122 degrees 25 minutes rest.  We are taking on water rapidly in our build pumps of failing.  In current we have 5 persons on board.  Weather conditions are deteriorating.  We have heavy rain and 25 knots of wind.  Request immediate assistance.  Repeat this is ocean in distress.","Mayday, mayday, mayday.  This is the resolution of Call Sign ABC World 34 MMS at 123456789.  We are located at 37 degrees 56 minutes north, 122 degrees 25 minutes rest.  We are taking on water rapidly in our build pumps of failing.  We currently have 5 persons on board.  Where the conditions are deteriorated, we have heavy rain and 25 knots of wind.  Request immediate assistance.  Repeat this resolution at endless stress."
988,"This is the fishing vessel Sea Breeze reporting on behalf of the cargo ship Ocean Explorer. The Ocean Explorer is currently at 37 degrees 15.5 minutes North, 122 degrees 30.2 minutes West. They are experiencing a steering failure and are unable to maintain course. The weather is clear with calm seas. There are 22 persons on board, and no injuries have been reported. They are requesting assistance to resolve the situation. Over.",Routine,third_party,steering_failure,False,NONE,"This is the fishing vessel Sea Breeze reporting on behalf of the cargo ship Ocean Explorer. The Ocean Explorer is currently at 37 degrees 15.5 minutes North, 122 degrees 30.2 minutes West. They are experiencing a steering failure and are unable to maintain course. The weather is clear with calm seas. There are 22 persons on board, and no injuries have been reported. They are requesting assistance to resolve the situation. Over.",Sea Breeze,WDC1234,123456789,37°15.5'N 122°30.2'W,clear and calm seas,22,steering failure,none,"This is the fishing vessel's sea breeze reporting on behalf of the Cargorship Ocean Explorer.  The Ocean Explorer is currently at 37 degrees 15.5 minutes north, 122 degrees 30.2 minutes west.  They are experiencing a steering failure and are unable to maintain course.  The weather is clear with cold seas. There are 22 persons on board and no injuries have been reported.  They are requesting assistance to resolve the situation. Over.","This is the fishing vessel's sea breeze reporting on behalf of the cargo ship ocean explorer.  The ocean explorer is currently at 37 degrees 15.5 minutes north, 122 degrees 30.2 minutes west.  They are experiencing a steering failure and are unable to maintain course.  The weather is clear with cold seas. There are 22 persons on board and no injuries have been reported.  They are requesting assistance to resolve the situation. Over.","This is the fishing vessels seen breeze reporting on behalf of the cargo ship Ocean Explore.  The Ocean Explore is currently at 37 degrees 15.5 minutes north, 122 degrees 30.2 minutes west.  Their experience in a steering failure and are unable to maintain course.  The weather is clear with calm seas.  There are 22 persons on board and no injuries have been reported.  They are requesting assistance to resolve the situation. Over."
989,"This is a relay from the vessel Ocean Explorer. They have reported a significant cargo shift while navigating in position 35 degrees 12 minutes North, 75 degrees 30 minutes West. The vessel is currently experiencing rough seas with a reported swell of 3 to 4 meters and wind gusts up to 30 knots. All crew members are accounted for, but the situation requires immediate attention as the vessel is listing to starboard. Their call sign is OCE1234. Please advise any nearby vessels or coast guard units that may assist.",Urgency,third_party,cargo_shift,False,NONE,"This is a relay from the vessel Ocean Explorer. They have reported a significant cargo shift while navigating in position 35 degrees 12 minutes North, 75 degrees 30 minutes West. The vessel is currently experiencing rough seas with a reported swell of 3 to 4 meters and wind gusts up to 30 knots. All crew members are accounted for, but the situation requires immediate attention as the vessel is listing to starboard. Their call sign is OCE1234. Please advise any nearby vessels or coast guard units that may assist.",Ocean Explorer,OCE1234,,"35 degrees 12 minutes North, 75 degrees 30 minutes West","rough seas, swell of 3 to 4 meters, wind gusts up to 30 knots",,cargo shift,,"This is a relive from the vessel Ocean Explorer.  They have reported a significant cargo shift while navigating in position 35 degrees  12 minutes north 75 degrees 30 minutes waste.  The vessel is currently experiencing rough seas that have reported swell of  three to four meters and wind gusts up to 30 knots.  All crew members are accounted for, but the situation requires immediate attention as the  vessel is listing to stop it. Their call sign is ill see at world 34.  Please advise any nearby vessels or cold squad units.","This is a relay from the vessel or ship explorer.  They have reported a significant cargo shift while navigating in position 35 degrees  12 minutes north, 75 degrees 30 minutes west.  The vessel is currently experiencing rough seas that have reported swell of 3-4 meters  and wind gusts up to 30 knots.  All crew members are accounted for it, but the situation requires immediate attention  as the vessel is listing to stop it.  Their call signers will see it while 34.  Please device any nearby vessels or call squad units.","This is a relief in the vessel ocean explorer.  They have reported a significant cargo shift for an avigating in position 35 degrees  12 minutes north, 75 degrees 30 minutes west.  The vessel is currently experiencing rough seas that have reported swell of two to four  meters and wind gusts up to 30 knots.  All crew members are accounted for it, but the situation requires immediate attention  as the vessel is listing to stop it.  They call same as you see at 4.34.  Please replace any nearby vessels or coarse-growing units."
990,"Uh, this is the Blue Wave, uh, checking in. I’m, uh, just off the coast of Cape Hatteras, uh, about 10 miles out, I think. Conditions are, um, kinda choppy. Waves are, like, three to four feet and the wind's, uh, pushing at 15 knots. Just wanna see if anyone's, um, receiving me. Over.",Distress,informal,radio_check,False,NONE,"Uh, this is the Blue Wave, uh, checking in. I’m, uh, just off the coast of Cape Hatteras, uh, about 10 miles out, I think. Conditions are, um, kinda choppy. Waves are, like, three to four feet and the wind's, uh, pushing at 15 knots. Just wanna see if anyone's, um, receiving me. Over.",Blue Wave,WDC1234,123456789,10 miles off Cape Hatteras,"choppy, waves 3-4 feet, wind 15 knots",4,,,"Oh, this is the blue wafer trekking in.  I'm about just off the coast of Cape Hatteras about 10 miles out, I think.  Conditions are on kinda choppy.  Waves are like 3-4 feet and the winds are pushing at 15 knots.  Just wanna see if anyone's arm receiving me.  Over.","Oh, this is the blue wave I'm checking in.  I'm by just off the coast of Cape Hatteras thought about 10 miles out, I think.  Conditions are on kinda choppy.  Waves are like 3-4 feet and the winds are pushing at 15 knots.  Just wanna see if anyone's armour is receiving me.  Over.","Oh, this is the blue wafer of Jekkingan.  I'm by just off the coast of Cape Hatchery's at about 10 miles out, I think.  Conditions are on Kandichapi.  Waves are like three to four feet and the winds are pushing at 15 knots.  Just wanna see if anyone has armed receiving me.  Over."
991,"PAN PAN, PAN PAN. This is the fishing vessel 'Ocean Pursuit', call sign ABC1234, MMSI 123456789. We are currently at position 32 degrees 15 minutes North, 64 degrees 47 minutes West. A large container has capsized and is adrift approximately 5 nautical miles to the south of our location, creating a significant navigation hazard. Weather conditions are clear with winds at 10 knots and visibility of 10 nautical miles. There are 3 persons on board. Other vessels are advised to exercise extreme caution in this area. Over.",Urgency,formal,nav_hazard,True,PAN PAN,"[SIGNAL], [SIGNAL]. This is the fishing vessel 'Ocean Pursuit', call sign ABC1234, MMSI 123456789. We are currently at position 32 degrees 15 minutes North, 64 degrees 47 minutes West. A large container has capsized and is adrift approximately 5 nautical miles to the south of our location, creating a significant navigation hazard. Weather conditions are clear with winds at 10 knots and visibility of 10 nautical miles. There are 3 persons on board. Other vessels are advised to exercise extreme caution in this area. Over.",Ocean Pursuit,ABC1234,123456789,"32 degrees 15 minutes North, 64 degrees 47 minutes West","clear, winds at 10 knots, visibility 10 nautical miles",3,navigation hazard due to capsized container,,"and bam-pam-pam. This is the fishing-resolution pursuit, call sign ABC 1234 and MS at 123,456,789.  We are currently at position 32 degrees 15 minutes north, 64 degrees 47 minutes west.  A large container has capsized and is adrift approximately five nautical miles to the south of our  location, creating a significant navigation hazard, where the conditions are clear with  winds of 10 knots and visibility of 10 nautical miles. There are three persons on board.  Other vessels are advised to excise extreme sea.","And bam, bam, bam.  This is the fishing resolution pursuit,  call sign ABC1234MMS at 123,456,789.  We are currently in a position 32 degrees 15 minutes north,  6C4 degrees 47 minutes west.  A large container has capsized and is adrift approximately five nautical miles  to the south of allocation, creating a significant navigation hazard.  Where the conditions are clear with winds of 10 knots and visibility of 10 nautical miles.  There are three persons on board.  Other vessels are advised to excise extreme sea.","Unbound Pampam.  This is the fishing resolution proceed,  call sign ABC 1234 and MS at 123 million,  456000, 789.  We are currently at position 32 degrees 15 minutes north,  64 degrees 47 minutes west.  A large container has cap space  and is adrift approximately five nautical miles  to the south of allocation,  creating a significant navigation hazard,  where the conditions of clear with winds  that turn knots on visibility of 10 nautical miles.  There are three persons on board,  other vessels are advised to excise extreme sea."
992,"Uh, this is the MV Ocean Breeze, um, we just had a bit of a bump with the MV Sea Explorer, uh, we're at, uh, 34.2 North, 74.5 West, I think? Weather's, um, kinda rough, got some swells and fog. No one hurt on our side, just some, uh, minor damage to the railing. Sea Explorer's, uh, not reporting any injuries either, but, uh, could you confirm their status? Over.",Routine,informal,collision,False,NONE,"Uh, this is the MV Ocean Breeze, um, we just had a bit of a bump with the MV Sea Explorer, uh, we're at, uh, 34.2 North, 74.5 West, I think? Weather's, um, kinda rough, got some swells and fog. No one hurt on our side, just some, uh, minor damage to the railing. Sea Explorer's, uh, not reporting any injuries either, but, uh, could you confirm their status? Over.",MV Ocean Breeze,OCB1234,123456789,"34.2 North, 74.5 West",rough seas and fog,15,collision,none,"Oh, this is the motovessolo should breeze, um, we just had a bit of a bump with the motovessolo  C-explore, oh, we're at 34.2 north, 74.5 west, I think. Where there's, um, kind of rough,  got some southern fog. No one heard on our side, just some, uh, minor damage to the railing.  C-explore is, uh, not reporting any injuries either, but, uh, could you confirm this status?  Over.","Oh, this is the multiversal ocean breeze, um, we just had a bit of a bump with the multiversal sea explorer,  or we're at 34.2 north, 74.5 west, I think.  Where there's, um, kind of rough, got some southern fog.  No one heard on our side, just some, uh, minor damage to the valley.  Sea explorers are not reporting any injuries either,  but, uh, could you confirm their status?  Over.",oh this is the multivascular shebees um we just had a bit of a bump with the multivascular sea  explorer oh we're at 34.2 north 724.5 west i think where there's um kind of rough got some  sosen fork no one heard her now say just some minor damage to the realy  sea explorers are not reporting any injuries either but uh could you confirm this status?  over
993,"Hey, this is the fishing trawler Sea Star, uh, we’ve got a bit of an issue here, over. Engine’s gone and well, we’re drifting at, um, approximately 28 degrees 30 minutes north, 80 degrees 12 minutes west. The sea's kinda choppy, maybe two meters, and, uh, visibility’s okay, like, about four miles or so. We’ve got five crew on board, all fine, just, y’know, not much we can do right now. Any chance, like, someone could help us out? Over.",Urgency,informal,engine_failure,False,NONE,"Hey, this is the fishing trawler Sea Star, uh, we’ve got a bit of an issue here, over. Engine’s gone and well, we’re drifting at, um, approximately 28 degrees 30 minutes north, 80 degrees 12 minutes west. The sea's kinda choppy, maybe two meters, and, uh, visibility’s okay, like, about four miles or so. We’ve got five crew on board, all fine, just, y’know, not much we can do right now. Any chance, like, someone could help us out? Over.",Sea Star,SEA1234,123456789,"28°30'N, 80°12'W","Choppy seas, visibility four miles",5,engine failure,,"Hey, this is the Fishing Troll of Sea Star, uh, we've got a bit of an issue here, over.  Engine's gone and well, we're drifting at an approximately 28 degrees 30 minutes north,  80 degrees 12 minutes rest. The sea's kind of choppy, maybe 2 meters and, uh,  visibility's okay, like, about 4 miles or so. We've got 5 crew aboard, all fine, just in though,  not much we can do right now. Any chance, like, someone could help us out. Over.","Hey, this is the fish in Tennessee Star, uh, we've got a bit of an issue here, over.  Engine's gone unwell, we're drifting at, and approximately 28 degrees 30 minutes north,  80 degrees 12 minutes rest. The seas kind of choppy, maybe 2 meters and, uh,  visibility's okay, like, about 4 miles or so. We've got 5 crew aboard, all fine, just in though,  not much we can do right now. Any chance, like, someone could help us out. Over.","Hey, this is the Fishing Tourist Sea Star, uh, we've got a bit of a nation here, over.  Engine is gone and well, we're drifting out, and approximately 28 degrees 30 minutes north,  80 degrees 12 minutes rest. The seas can be choppy, maybe 2 meters and, uh,  these abilities are okay, like, about 4 miles or so. We've got 5 crew and board, all fine,  just in there, not much to continue right now. Any chance, like, someone can help us out, over."
994,"Attention vessels in the vicinity, this is the motor vessel Ocean Explorer, call sign ABC123, currently located at 37°54.5'N, 122°45.3'W. We are reporting smoke emanating from the galley area, with a potential fire hazard. All crew members are accounted for, with a total of 25 persons on board. Weather conditions are calm, with visibility at 10 nautical miles. We are currently taking measures to contain the situation. Further updates will follow. Over.

All vessels, this is MV Ocean Explorer. The situation has been resolved. No fire was found, and the smoke has cleared. All crew are safe and accounted for. Thank you for your attention. Over.",Safety,formal,fire_smoke,False,NONE,"Attention vessels in the vicinity, this is the motor vessel Ocean Explorer, call sign ABC123, currently located at 37°54.5'N, 122°45.3'W. We are reporting smoke emanating from the galley area, with a potential fire hazard. All crew members are accounted for, with a total of 25 persons on board. Weather conditions are calm, with visibility at 10 nautical miles. We are currently taking measures to contain the situation. Further updates will follow. Over.

All vessels, this is MV Ocean Explorer. The situation has been resolved. No fire was found, and the smoke has cleared. All crew are safe and accounted for. Thank you for your attention. Over.",Ocean Explorer,ABC123,123456789,"37°54.5'N, 122°45.3'W","calm, visibility 10 nautical miles",25,smoke from galley area,none,"Attention vessels in the vicinity, this is the Motivessel Ocean Explore,  Coast sign AB-Cone 120-3 currently located at 37 degrees 54.5 and 122 degrees 45.3.  We are reporting smoke emanating from the galley area with a potential fire hazard.  All crew members are accounted for with a total of 25 persons on board.  Whether conditions are calm with visibility at 10 nautical miles,  we are currently taking matters to contain the situation,  for their updates will follow. Over. All vessels, this is murder.","Attention buses in the vicinity, this is the Motivessel Ocean Explore,  Coast sign AB-Cone 120-3 currently located at 37 degrees 54.5 and 120 degrees 45.3.  We are reporting smoke emanating from the galley area with a potential fire hazard.  All crew members are accounted for with a total of 25 persons on board.  Whether conditions are calm with visibility at 10 nautical miles,  we are currently taking matters to contain the situation,  for their updates will follow. Over. All vessels, this is murder.","The tension buses in the vicinity, this is the motivation to explore a close sign  A become 123 currently located at 37 degrees 54.5 and 122 degrees 45.3  We are putting smoke emanating from the galley area with a potential fire hazard  All crew members are accounted for is a total of 25 persons on board  But the conditions are calm if visibility at 10 nautical miles  We are currently taking matters to contain the situation  To their updates will follow  Over  Over our souls, this is murder"
995,"Attention all vessels, this is the fishing trawler Ocean Explorer, call sign ABC123. Our current position is 37 degrees 55 minutes north, 122 degrees 30 minutes west. We are conducting a routine safety drill when one crew member has sustained a serious laceration to the arm and requires immediate medical assistance. Weather conditions are clear with a gentle breeze at 10 knots. There are 8 persons on board. We are standing by for any assistance and will provide further updates as necessary. Over.",Safety,formal,medical_issue,False,NONE,"Attention all vessels, this is the fishing trawler Ocean Explorer, call sign ABC123. Our current position is 37 degrees 55 minutes north, 122 degrees 30 minutes west. We are conducting a routine safety drill when one crew member has sustained a serious laceration to the arm and requires immediate medical assistance. Weather conditions are clear with a gentle breeze at 10 knots. There are 8 persons on board. We are standing by for any assistance and will provide further updates as necessary. Over.",Ocean Explorer,ABC123,,"37 degrees 55 minutes north, 122 degrees 30 minutes west",clear with a gentle breeze at 10 knots,8,medical issue during drill,serious laceration to the arm,"Attention all vessels, this is a Fishing Jolation Explorer. Call sign may be call 1203.  Our current position is 37 degrees 55 minutes north, 122 degrees 30 minutes west.  We are conducting a routine safety girl when one crew member has sustained a serious  laseration to the arm and requires immediate medical assistance.  Where the conditions are clear with the gentle breeze at 10 knots.  There are eight persons on board. We are standing by for any assistance and will provide further  updates as necessary. All for it.","Attention all vessels, this is a phishing toleration explorer. Call sign may be called 123.  Our current position is 37 degrees 55 minutes north, 122 degrees 70 minutes west.  We are conducting a routine safety girl when one crew member has sustained a serious  maceration to the arm and requires immediate medical assistance.  Where the conditions are clear with the gentle breeze at 10 knots.  There are eight persons on board. We are standing by for any assistance and will provide further  updates as necessary. All for it.","Attention of asses, this is a phishing toilet with an explorer. Call sign may be calling 120 feet.  Our current position is 37 degrees 55 minutes north.  122 degrees serving minutes rest.  We are conducting a routine safety drill when one crew member is sustained a serious resolution to the arm.  Requires immediate medical assistance.  Where the conditions are clear with a gentle breeze at 10 knots.  There are eight persons on board.  We are standing by for any assistance and we'll provide further updates as necessary.  Over."
